chain,address,name,category,secondary_category,source,source_url,tier
ethereum,0x09278b36863be4ccd3d0c22d643e8062d7a11377,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x0e8c1e2881f35ef20343264862a242fb749d6b35,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x140c9ab92347734641b1a7c124ffdee58c20c3e3,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x1512fcb09463a61862b73ec09b9b354af1790268,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x1542368a03ad1f03d96d51b414f4738961cf4443,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x1bb0970508316dc735329752a4581e0a4babc6b4,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x1eb27f136bfe7947f80d6cee3cf0bfdf92b45e57,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x21032176b43d9f7e9410fb37290a78f4fed6044c,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x2290937a4498c96effb87b8371a33d108f8d433f,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x23db729908137cb60852f2936d2b5c6de0e1c887,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x30a822cdd2782d2b2a12a08526452e885978fa1d,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
ethereum,0x3a21f4e6bbe527d347ca7c157f4233c935779847,TraderTraitor (Bybit),sanctions,,FBI / IC3,https://www.ic3.gov/psa/2025/psa250226,official
